Date,Close,High,Low,Open,Volume
7/7/2023,423.5868835,427.5373607,423.3454134,423.6641705,86134200
7/10/2023,424.6590576,424.832909,422.6596778,423.2295438,62443500
7/11/2023,427.3634949,427.8561034,424.4465463,425.422095,64463800
7/12/2023,430.8020325,432.2122393,429.7299192,431.159433,91924500
7/13/2023,434.2213135,435.0133427,432.1833194,432.617948,72425200
7/14/2023,433.9508667,435.9598855,433.1878127,435.1099353,69815800
7/17/2023,435.4575195,436.5103256,433.7575606,433.8058723,52680200
7/18/2023,438.6932373,439.3403607,434.6944782,435.1291361,80668200
7/19/2023,439.6688232,440.8568374,438.6159875,439.4853036,65891700
7/20/2023,436.7518616,439.5722458,436.0371194,438.6739839,70591600
7/21/2023,436.7518616,438.6739839,436.7422228,438.4711278,71275600
7/24/2023,438.7029114,439.5142474,436.8677149,437.9012141,54023400
7/25/2023,439.9006348,441.1562677,438.3841952,438.432507,55191200
7/26/2023,439.9682007,441.3976848,437.9108707,438.9636768,71052900
7/27/2023,437.0512695,443.764151,436.1433395,443.3584682,92194400
7/28/2023,441.3301392,442.1607823,437.0512661,440.3256152,80011800
7/31/2023,442.1704712,442.5278423,440.489819,441.8034319,62040400
8/1/2023,440.9051514,441.6488688,439.9489096,440.7022952,55291500
8/2/2023,434.7718201,438.0461398,434.0184344,437.7853627,93933400
8/3/2023,433.5258789,435.409358,432.1060331,432.7531862,64276100
8/4/2023,431.565094,437.4473031,431.0435102,435.3416906,100128900
8/7/2023,435.3320313,435.4865757,432.7048349,433.4002701,58357500
8/8/2023,433.4389038,435.3223827,430.0776288,432.7917509,71361300
8/9/2023,430.5412292,433.8735287,429.7781754,433.7093161,78789600
8/10/2023,430.6957703,436.2882265,429.5270631,432.8979766,93005500
8/11/2023,430.4446411,431.4588333,428.2231277,428.8219689,68690900
8/14/2023,432.8207397,432.8207397,429.218024,429.5271129,47867400
8/15/2023,427.7788391,431.4008911,427.2089437,431.0434905,75707500
8/16/2023,424.63974,429.0248165,424.5334778,427.3635007,80107200
8/17/2023,421.4040222,426.3686328,420.8824385,426.1078557,95711300
8/18/2023,421.606842,422.6403413,418.2359285,418.5836313,98852000
8/21/2023,424.3500061,425.0937236,420.4671765,422.6210715,68719000
8/22/2023,423.2005615,426.1271784,422.6403638,426.1271784,64994200
8/23/2023,427.914093,428.5322708,424.1181892,424.2630654,68441000
8/24/2023,421.983551,430.0293227,421.9545463,429.5174072,88517300
8/25/2023,424.9584351,426.2430431,420.1580079,423.712441,102325100
8/28/2023,427.6532898,428.271438,424.9584748,427.151013,61595400
8/29/2023,433.8349304,434.115044,427.3635187,427.5470383,83081900
8/30/2023,435.6218262,436.2593109,433.4679018,434.1730052,69053900
8/31/2023,434.9843445,437.3797096,434.8008248,436.2399775,66084600
9/1/2023,435.7956848,438.1910794,434.3371956,437.7081391,58944100
9/5/2023,433.9122009,435.6701107,433.8446117,435.3513831,55166200
9/6/2023,430.9952087,433.2070834,428.6674331,433.1008212,70758500
9/7/2023,429.6719666,430.3480652,427.6436115,427.9913144,70355400
9/8/2023,430.3190918,431.8548383,429.3628795,429.7202506,61659700
9/11/2023,433.1491394,433.4581988,431.2366853,432.9462833,60180100
9/12/2023,430.7730713,433.2264162,430.1935665,431.7003379,67565400
9/13/2023,431.2753906,432.4344298,429.8941589,430.995277,60199300
9/14/2023,434.9939575,435.6893927,432.4440482,433.7479928,83430800
9/15/2023,429.7530518,433.7368393,429.3168901,433.4072851,111848900
9/18/2023,430.0050049,431.3038465,428.9678602,429.4428016,55752200
9/19/2023,429.1132507,429.675454,426.4283351,429.0841733,66514600
9/20/2023,425.1682739,430.7901295,424.9647023,430.373343,82562600
9/21/2023,418.1409912,422.5803154,417.9859016,422.3186184,104095800
9/22/2023,417.2007141,420.7676848,416.783898,419.1683664,100829700
9/25/2023,418.9551697,418.9939199,415.5529609,415.9891521,70874500
