timestamp_utc,participant_id,group,scenario_id,trial_index,condition,signal_shown,confidence_shown,decision,confidence_rating,response_time_seconds,actual_outcome,actual_decision,model_correct,decision_correct,model_recommended_decision,agrees_with_model
2026-08-09 20:18:38.486629,18,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,hold,3,7.321,flat,hold,True,True,hold,True
2026-08-09 20:18:47.274593,18,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,sell,3,8.355,down,sell,True,True,sell,True
2026-08-09 20:18:52.500990,18,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,buy,3,4.815,down,sell,False,False,buy,True
2026-08-09 20:19:00.881432,18,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,sell,3,7.831,up,buy,True,False,buy,False
2026-08-09 20:19:07.567626,18,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,buy,3,6.312,up,buy,True,True,buy,True
2026-08-09 20:19:17.779717,18,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,hold,3,9.814,down,sell,False,False,hold,True
2026-08-09 20:19:28.654379,18,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,hold,2,10.393,flat,hold,True,True,hold,True
2026-08-09 20:19:39.339198,18,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,hold,3,10.284,down,sell,False,False,hold,True
2026-08-09 20:19:54.894057,18,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,hold,3,15.137,down,sell,True,False,sell,False
2026-08-09 20:19:59.417337,18,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,hold,3,4.125,flat,hold,True,True,hold,True
2026-08-09 20:20:04.339406,18,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,sell,3,4.503,flat,hold,False,False,buy,False
2026-08-09 20:20:11.613079,18,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,sell,3,6.852,up,buy,True,False,buy,False
2026-08-10 07:12:54.268908,170,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,hold,2,127.893,down,sell,False,False,buy,False
2026-08-10 07:12:57.575084,35,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,hold,4,95.537,down,sell,False,False,buy,False
2026-08-10 07:13:16.119267,170,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,buy,4,21.125,up,buy,False,True,sell,False
2026-08-10 07:13:23.876606,170,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,6.374,up,buy,False,False,hold,True
2026-08-10 07:13:24.407429,170,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,6.785,up,buy,False,False,hold,True
2026-08-10 07:13:32.053761,170,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,buy,3,6.937,flat,hold,False,False,sell,False
2026-08-10 07:14:39.822745,35,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,sell,3,101.865,up,buy,False,False,sell,True
2026-08-10 07:14:45.730102,35,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,5.43,up,buy,False,False,hold,True
2026-08-10 07:14:49.818870,35,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,buy,2,3.639,flat,hold,False,False,sell,False
2026-08-10 07:14:55.041841,35,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,1,4.822,up,buy,False,False,hold,True
2026-08-10 07:15:02.135891,35,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,1,10.527,up,buy,False,False,hold,True
2026-08-10 07:15:02.094183,35,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,1,6.896,up,buy,False,False,hold,True
2026-08-10 07:15:03.462773,35,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,5,13.16,up,buy,False,False,hold,True
2026-08-10 07:15:08.022149,35,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,sell,5,4.083,down,sell,True,True,sell,True
2026-08-10 07:15:12.077235,35,group_2,2025-05-21 14:40:00-04:00,6,explained,up,0.3529,buy,4,3.495,down,sell,False,False,buy,True
2026-08-10 07:15:14.146183,35,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,buy,3,1.752,up,buy,False,True,sell,False
2026-08-10 07:15:18.896220,35,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,sell,2,4.12,flat,hold,True,False,hold,False
2026-08-10 07:15:22.229589,35,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,hold,4,2.326,down,sell,True,False,sell,False
2026-08-10 07:15:26.015977,35,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,hold,4,3.167,down,sell,False,False,buy,False
2026-08-10 07:15:31.609658,35,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,sell,2,5.199,up,buy,True,False,buy,False
2026-08-10 07:15:34.642952,35,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,hold,3,2.618,up,buy,True,False,buy,False
2026-08-10 07:15:37.976833,35,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,sell,2,2.985,down,sell,False,True,hold,False
2026-08-10 07:15:42.329399,35,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,buy,4,3.999,flat,hold,True,False,hold,False
2026-08-10 07:15:47.936536,35,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,buy,4,5.054,down,sell,False,False,hold,False
2026-08-10 07:15:51.618067,35,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,hold,3,2.607,down,sell,True,False,sell,False
2026-08-10 07:15:57.051135,35,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,buy,4,4.076,flat,hold,True,False,hold,False
2026-08-10 07:16:01.117384,35,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,sell,1,2.873,flat,hold,False,False,buy,False
2026-08-10 07:16:07.905339,35,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,sell,1,5.686,up,buy,True,False,buy,False
2026-08-10 07:17:27.612039,24,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,buy,2,51.407,down,sell,False,False,buy,True
2026-08-10 07:17:34.457424,24,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,buy,2,6.426,up,buy,False,True,sell,False
2026-08-10 07:17:39.081828,24,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,buy,2,4.096,up,buy,False,True,hold,False
2026-08-10 07:17:44.006271,24,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,sell,2,3.978,flat,hold,False,False,sell,True
2026-08-10 07:18:17.050172,24,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,2,31.898,up,buy,False,False,hold,True
2026-08-10 07:18:23.514209,24,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,buy,2,5.448,down,sell,True,False,sell,False
2026-08-10 07:18:29.045838,24,group_2,2025-05-21 14:40:00-04:00,6,explained,up,0.3529,hold,2,4.506,down,sell,False,False,buy,False
2026-08-10 07:18:36.381951,24,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,buy,1,6.557,up,buy,False,True,sell,False
2026-08-10 07:18:53.022641,24,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,buy,2,15.973,flat,hold,True,False,hold,False
2026-08-10 07:18:58.731799,24,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,buy,2,4.796,down,sell,True,False,sell,False
2026-08-10 07:19:38.130934,24,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,hold,1,38.748,down,sell,False,False,buy,False
2026-08-10 07:19:47.883042,24,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,sell,2,9.185,up,buy,True,False,buy,False
2026-08-10 07:20:10.138388,24,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,hold,1,21.679,up,buy,True,False,buy,False
2026-08-10 07:20:16.988203,24,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,hold,1,6.54,down,sell,False,False,hold,True
2026-08-10 07:20:22.853780,24,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,buy,1,5.482,flat,hold,True,False,hold,False
2026-08-10 07:20:34.311837,24,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,sell,1,11.125,down,sell,False,True,hold,False
2026-08-10 07:20:41.335548,24,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,sell,1,6.566,down,sell,True,True,sell,True
2026-08-10 07:20:54.493148,24,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,sell,1,12.607,flat,hold,True,False,hold,False
2026-08-10 07:21:05.841121,24,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,hold,1,11.008,flat,hold,False,True,buy,False
2026-08-10 07:21:12.776732,24,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,hold,1,6.656,up,buy,True,False,buy,False
2026-08-10 11:53:55.028388,49,group_1,2022-09-06 11:45:00-04:00,0,explained,up,0.818,sell,2,31.69,down,sell,False,True,buy,False
2026-08-10 11:54:04.280325,49,group_1,2022-11-07 13:25:00-05:00,1,explained,up,0.4333,hold,4,8.963,up,buy,True,False,buy,False
2026-08-10 11:54:11.758017,49,group_1,2023-03-20 09:30:00-04:00,2,explained,up,0.5718,buy,3,7.201,up,buy,True,True,buy,True
2026-08-10 11:54:33.752885,49,group_1,2023-10-20 14:40:00-04:00,3,explained,flat,0.3523,hold,3,21.647,down,sell,False,False,hold,True
2026-08-10 11:54:51.272239,49,group_1,2023-12-26 13:45:00-05:00,4,explained,flat,0.8882,sell,2,17.229,flat,hold,True,False,hold,False
2026-08-10 11:55:00.397975,49,group_1,2024-07-08 11:20:00-04:00,5,explained,flat,0.8107,buy,3,8.683,down,sell,False,False,hold,False
2026-08-10 11:55:00.839631,49,group_1,2024-07-08 11:20:00-04:00,5,explained,flat,0.8107,buy,3,9.28,down,sell,False,False,hold,False
2026-08-10 11:55:10.129571,49,group_1,2025-03-28 12:45:00-04:00,6,explained,down,0.4593,buy,2,9.006,down,sell,True,False,sell,False
2026-08-10 11:55:15.883743,49,group_1,2025-07-18 10:35:00-04:00,7,explained,flat,0.7856,hold,3,5.499,flat,hold,True,True,hold,True
2026-08-10 11:55:33.188802,49,group_1,2025-12-18 13:05:00-05:00,8,explained,up,0.3841,hold,4,17.009,flat,hold,False,True,buy,False
2026-08-10 11:55:34.721887,48,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,hold,2,56.071,down,sell,False,False,buy,False
2026-08-10 11:55:40.326304,49,group_1,2026-02-17 13:05:00-05:00,9,explained,up,0.3797,sell,3,6.873,up,buy,True,False,buy,False
2026-08-10 11:55:46.793963,49,group_1,2022-09-27 11:00:00-04:00,10,unexplained,up,0.9032,buy,3,6.139,down,sell,False,False,buy,True
2026-08-10 11:55:54.558688,48,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,buy,3,19.565,up,buy,False,True,sell,False
2026-08-10 11:56:06.470065,48,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,hold,3,11.61,up,buy,False,False,hold,True
2026-08-10 11:56:08.537569,49,group_1,2022-11-14 12:55:00-05:00,11,unexplained,down,0.4507,buy,3,21.5,up,buy,False,True,sell,False
2026-08-10 11:56:16.227143,49,group_1,2023-04-20 09:50:00-04:00,12,unexplained,flat,0.4116,hold,3,7.406,up,buy,False,False,hold,True
2026-08-10 11:56:23.055733,49,group_1,2023-12-01 14:55:00-05:00,13,unexplained,down,0.6042,sell,3,6.559,flat,hold,False,False,sell,True
2026-08-10 11:56:26.665937,49,group_1,2024-04-26 11:30:00-04:00,14,unexplained,flat,0.4042,sell,3,3.326,up,buy,False,False,hold,False
2026-08-10 11:56:27.905876,48,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,buy,3,21.13,flat,hold,False,False,sell,False
2026-08-10 11:56:31.011896,49,group_1,2024-09-26 09:40:00-04:00,15,unexplained,down,0.7008,buy,3,4.092,down,sell,True,False,sell,False
2026-08-10 11:56:33.818942,49,group_1,2025-05-21 14:40:00-04:00,16,unexplained,up,0.3529,hold,3,2.535,down,sell,False,False,buy,False
2026-08-10 11:56:35.440115,48,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,5,7.227,up,buy,False,False,hold,True
2026-08-10 11:56:36.068310,49,group_1,2025-12-12 11:50:00-05:00,17,unexplained,down,0.4241,hold,3,1.952,up,buy,False,False,sell,False
2026-08-10 11:56:36.495198,49,group_1,2025-12-12 11:50:00-05:00,17,unexplained,down,0.4241,hold,3,2.403,up,buy,False,False,sell,False
2026-08-10 11:56:42.485727,49,group_1,2025-12-22 11:45:00-05:00,18,unexplained,flat,0.8806,hold,4,5.718,flat,hold,True,True,hold,True
2026-08-10 11:56:45.713636,48,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,buy,4,9.986,down,sell,True,False,sell,False
2026-08-10 11:56:48.442746,49,group_1,2026-06-24 14:40:00-04:00,19,unexplained,down,0.6079,sell,2,5.696,down,sell,True,True,sell,True
2026-08-10 11:56:52.879428,48,group_2,2025-05-21 14:40:00-04:00,6,explained,up,0.3529,sell,4,6.87,down,sell,False,True,buy,False
2026-08-10 11:57:03.439159,48,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,buy,5,10.234,up,buy,False,True,sell,False
2026-08-10 11:57:08.939272,48,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,hold,4,5.224,flat,hold,True,True,hold,True
2026-08-10 11:57:23.357512,48,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,hold,2,14.151,down,sell,True,False,sell,False
2026-08-10 11:57:33.219927,48,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,sell,3,9.503,down,sell,False,True,buy,False
2026-08-10 11:57:46.254911,48,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,hold,1,12.735,up,buy,True,False,buy,False
2026-08-10 11:58:00.683792,48,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,sell,1,14.146,up,buy,True,False,buy,False
2026-08-10 11:58:07.774768,48,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,hold,5,6.826,down,sell,False,False,hold,True
2026-08-10 11:58:17.562680,48,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,sell,2,9.51,flat,hold,True,False,hold,False
2026-08-10 11:58:29.170603,48,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,hold,3,11.297,down,sell,False,False,hold,True
2026-08-10 11:58:37.788800,48,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,buy,4,8.357,down,sell,True,False,sell,False
2026-08-10 11:59:30.880106,48,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,hold,2,52.798,flat,hold,True,True,hold,True
2026-08-10 11:59:39.555340,48,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,sell,2,8.374,flat,hold,False,False,buy,False
2026-08-10 11:59:45.623441,48,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,sell,2,5.776,up,buy,True,False,buy,False
2026-08-10 12:51:40.301417,38,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,hold,3,38.151,down,sell,False,False,buy,False
2026-08-10 16:33:41.333763,21,group_1,2022-09-06 11:45:00-04:00,0,explained,up,0.818,buy,3,84.695,down,sell,False,False,buy,True
2026-08-10 16:34:02.073610,21,group_1,2022-11-07 13:25:00-05:00,1,explained,up,0.4333,hold,3,20.395,up,buy,True,False,buy,False
2026-08-10 16:34:20.401971,21,group_1,2023-03-20 09:30:00-04:00,2,explained,up,0.5718,buy,3,18.004,up,buy,True,True,buy,True
2026-08-10 16:34:33.719826,21,group_1,2023-10-20 14:40:00-04:00,3,explained,flat,0.3523,sell,3,12.975,down,sell,False,True,hold,False
2026-08-10 16:34:53.131569,21,group_1,2023-12-26 13:45:00-05:00,4,explained,flat,0.8882,buy,3,19.09,flat,hold,True,False,hold,False
2026-08-10 16:35:01.387121,21,group_1,2024-07-08 11:20:00-04:00,5,explained,flat,0.8107,hold,3,7.981,down,sell,False,False,hold,True
2026-08-10 16:35:14.495122,21,group_1,2025-03-28 12:45:00-04:00,6,explained,down,0.4593,buy,3,12.796,down,sell,True,False,sell,False
2026-08-10 16:35:25.061571,21,group_1,2025-07-18 10:35:00-04:00,7,explained,flat,0.7856,buy,3,10.276,flat,hold,True,False,hold,False
2026-08-10 16:35:29.664577,21,group_1,2025-12-18 13:05:00-05:00,8,explained,up,0.3841,buy,3,4.318,flat,hold,False,False,buy,True
2026-08-10 16:35:35.613203,21,group_1,2026-02-17 13:05:00-05:00,9,explained,up,0.3797,buy,3,5.63,up,buy,True,True,buy,True
2026-08-10 16:35:48.726078,21,group_1,2022-09-27 11:00:00-04:00,10,unexplained,up,0.9032,buy,3,12.826,down,sell,False,False,buy,True
2026-08-10 16:35:55.740542,21,group_1,2022-11-14 12:55:00-05:00,11,unexplained,down,0.4507,sell,3,6.727,up,buy,False,False,sell,True
2026-08-10 16:36:02.867658,21,group_1,2023-04-20 09:50:00-04:00,12,unexplained,flat,0.4116,hold,3,6.788,up,buy,False,False,hold,True
2026-08-10 16:36:10.480961,21,group_1,2023-12-01 14:55:00-05:00,13,unexplained,down,0.6042,hold,3,7.342,flat,hold,False,True,sell,False
2026-08-10 16:36:24.675870,21,group_1,2024-04-26 11:30:00-04:00,14,unexplained,flat,0.4042,sell,3,13.898,up,buy,False,False,hold,False
2026-08-10 16:36:30.200016,21,group_1,2024-09-26 09:40:00-04:00,15,unexplained,down,0.7008,buy,3,5.253,down,sell,True,False,sell,False
