timestamp_utc,participant_id,group,scenario_id,trial_index,condition,signal_shown,confidence_shown,decision,confidence_rating,response_time_seconds,group_sess,session_status,is_complete,aligned,confidence_rating_norm,calibration_error,log_rt
2026-08-10 07:15:26.015977,35,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,hold,4,3.167,group_2,completed,True,0,1.0,0.18200000000000005,1.1527847675565026
2026-08-10 07:15:31.609658,35,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,sell,2,5.199,group_2,completed,True,0,0.3333333333333333,0.0999666666666667,1.6484662994015786
2026-08-10 07:15:34.642952,35,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,hold,3,2.618,group_2,completed,True,0,0.6666666666666666,0.09486666666666665,0.9624106674877081
2026-08-10 07:15:37.976833,35,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,sell,2,2.985,group_2,completed,True,0,0.3333333333333333,0.018966666666666687,1.0935997468445653
2026-08-10 07:15:42.329399,35,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,buy,4,3.999,group_2,completed,True,0,1.0,0.11180000000000001,1.3860443298646814
2026-08-10 07:15:47.936536,35,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,buy,4,5.054,group_2,completed,True,0,1.0,0.18930000000000002,1.6201800089660026
2026-08-10 07:15:51.618067,35,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,hold,3,2.607,group_2,completed,True,0,0.6666666666666666,0.20736666666666664,0.9582001349513648
2026-08-10 07:15:57.051135,35,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,buy,4,4.076,group_2,completed,True,0,1.0,0.21440000000000003,1.4051161153604783
2026-08-10 07:16:01.117384,35,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,sell,1,2.873,group_2,completed,True,0,0.0,0.3841,1.0553567799971526
2026-08-10 07:16:07.905339,35,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,sell,1,5.686,group_2,completed,True,0,0.0,0.3797,1.7380070132288081
2026-08-10 07:17:27.612039,24,group_2,2022-09-27 11:00:00-04:00,0,explained,up,0.9032,buy,2,51.407,group_2,completed,True,1,0.3333333333333333,0.5698666666666667,3.939774349958971
2026-08-10 07:17:34.457424,24,group_2,2022-11-14 12:55:00-05:00,1,explained,down,0.4507,buy,2,6.426,group_2,completed,True,0,0.3333333333333333,0.11736666666666667,1.8603522606936667
2026-08-10 07:17:39.081828,24,group_2,2023-04-20 09:50:00-04:00,2,explained,flat,0.4116,buy,2,4.096,group_2,completed,True,0,0.3333333333333333,0.0782666666666667,1.4100108877372066
2026-08-10 07:17:44.006271,24,group_2,2023-12-01 14:55:00-05:00,3,explained,down,0.6042,sell,2,3.978,group_2,completed,True,1,0.3333333333333333,0.27086666666666664,1.3807791804317806
2026-08-10 07:18:17.050172,24,group_2,2024-04-26 11:30:00-04:00,4,explained,flat,0.4042,hold,2,31.898,group_2,completed,True,1,0.3333333333333333,0.07086666666666669,3.4625433119005624
2026-08-10 07:18:23.514209,24,group_2,2024-09-26 09:40:00-04:00,5,explained,down,0.7008,buy,2,5.448,group_2,completed,True,0,0.3333333333333333,0.36746666666666666,1.6952485688472114
2026-08-10 07:18:29.045838,24,group_2,2025-05-21 14:40:00-04:00,6,explained,up,0.3529,hold,2,4.506,group_2,completed,True,0,0.3333333333333333,0.019566666666666677,1.5054098420100528
2026-08-10 07:18:36.381951,24,group_2,2025-12-12 11:50:00-05:00,7,explained,down,0.4241,buy,1,6.557,group_2,completed,True,0,0.0,0.4241,1.8805331812814825
2026-08-10 07:18:53.022641,24,group_2,2025-12-22 11:45:00-05:00,8,explained,flat,0.8806,buy,2,15.973,group_2,completed,True,0,0.3333333333333333,0.5472666666666668,2.7708997968078197
2026-08-10 07:18:58.731799,24,group_2,2026-06-24 14:40:00-04:00,9,explained,down,0.6079,buy,2,4.796,group_2,completed,True,0,0.3333333333333333,0.2745666666666667,1.5677822371652679
2026-08-10 07:19:38.130934,24,group_2,2022-09-06 11:45:00-04:00,10,unexplained,up,0.818,hold,1,38.748,group_2,completed,True,0,0.0,0.818,3.6570791415641386
2026-08-10 07:19:47.883042,24,group_2,2022-11-07 13:25:00-05:00,11,unexplained,up,0.4333,sell,2,9.185,group_2,completed,True,0,0.3333333333333333,0.0999666666666667,2.217571718667089
2026-08-10 07:20:10.138388,24,group_2,2023-03-20 09:30:00-04:00,12,unexplained,up,0.5718,hold,1,21.679,group_2,completed,True,0,0.0,0.5718,3.076344050046379
2026-08-10 07:20:16.988203,24,group_2,2023-10-20 14:40:00-04:00,13,unexplained,flat,0.3523,hold,1,6.54,group_2,completed,True,1,0.0,0.3523,1.8779371654691073
2026-08-10 07:20:22.853780,24,group_2,2023-12-26 13:45:00-05:00,14,unexplained,flat,0.8882,buy,1,5.482,group_2,completed,True,0,0.0,0.8882,1.701469997880594
2026-08-10 07:20:34.311837,24,group_2,2024-07-08 11:20:00-04:00,15,unexplained,flat,0.8107,sell,1,11.125,group_2,completed,True,0,0.0,0.8107,2.409194828052304
2026-08-10 07:20:41.335548,24,group_2,2025-03-28 12:45:00-04:00,16,unexplained,down,0.4593,sell,1,6.566,group_2,completed,True,1,0.0,0.4593,1.881904819079401
2026-08-10 07:20:54.493148,24,group_2,2025-07-18 10:35:00-04:00,17,unexplained,flat,0.7856,sell,1,12.607,group_2,completed,True,0,0.0,0.7856,2.5342522152491322
2026-08-10 07:21:05.841121,24,group_2,2025-12-18 13:05:00-05:00,18,unexplained,up,0.3841,hold,1,11.008,group_2,completed,True,0,0.0,0.3841,2.398622281190988
2026-08-10 07:21:12.776732,24,group_2,2026-02-17 13:05:00-05:00,19,unexplained,up,0.3797,hold,1,6.656,group_2,completed,True,0,0.0,0.3797,1.8955187035189074
2026-08-10 11:53:55.028388,49,group_1,2022-09-06 11:45:00-04:00,0,explained,up,0.818,sell,2,31.69,group_1,completed,True,0,0.3333333333333333,0.48466666666666663,3.4560011737028296
2026-08-10 11:54:04.280325,49,group_1,2022-11-07 13:25:00-05:00,1,explained,up,0.4333,hold,4,8.963,group_1,completed,True,0,1.0,0.5667,2.1931049923752246
2026-08-10 11:54:11.758017,49,group_1,2023-03-20 09:30:00-04:00,2,explained,up,0.5718,buy,3,7.201,group_1,completed,True,1,0.6666666666666666,0.09486666666666665,1.9742199052667297
2026-08-10 11:54:33.752885,49,group_1,2023-10-20 14:40:00-04:00,3,explained,flat,0.3523,hold,3,21.647,group_1,completed,True,1,0.6666666666666666,0.3143666666666666,3.0748668767177185
2026-08-10 11:54:51.272239,49,group_1,2023-12-26 13:45:00-05:00,4,explained,flat,0.8882,sell,2,17.229,group_1,completed,True,0,0.3333333333333333,0.5548666666666666,2.846594010550269
2026-08-10 11:55:00.397975,49,group_1,2024-07-08 11:20:00-04:00,5,explained,flat,0.8107,buy,3,8.683,group_1,completed,True,0,0.6666666666666666,0.14403333333333335,2.161367091078508
2026-08-10 11:55:10.129571,49,group_1,2025-03-28 12:45:00-04:00,6,explained,down,0.4593,buy,2,9.006,group_1,completed,True,0,0.3333333333333333,0.12596666666666667,2.19789102187938
2026-08-10 11:55:15.883743,49,group_1,2025-07-18 10:35:00-04:00,7,explained,flat,0.7856,hold,3,5.499,group_1,completed,True,1,0.6666666666666666,0.11893333333333334,1.7045662575256777
2026-08-10 11:55:33.188802,49,group_1,2025-12-18 13:05:00-05:00,8,explained,up,0.3841,hold,4,17.009,group_1,completed,True,0,1.0,0.6159,2.8337426157319547
